Nama_Produk,Kategori_Produk,Harga_Produk,Review
Lakban Solatip 12 x 75 yard,Perekat,2000,5
Stick Lem Tembak Putih 27 cm (50pcs),Perekat Cair,30000,5
Thermal Unboxing 100mm x 150mm x 500 lembar,Label,50000,5
Kertas HVS A4 75 Gram 500 Lembar,Kertas,45000,"4,8"
Dispenser Lakban Joyko,Dispenser,21000,"4,9"
Tissue Wajah Halus 1kg,Peralatan Kecantikan,38000,5
Sticker Thermal 100mm x 150mm isi 500 Lembar,Label,52000,"4,9"
Isi Cutter Besar Kenko L150,Cutter,6500,"4,9"
Cutter Besar Alligator AL-77,Cutter,11000,"4,8"
Lakban Fresh Vegetables 18 x 65 yard,Perekat,3500,5
Kantong Plastik Sampah 50 cm x 75 cm,Peralatan Rumah,12000,5
Kantong Plastik Sampah 60 cm x 100 cm,Peralatan Rumah,12000,5
Kantong Plastik Sampah 80 cm x 100 cm,Peralatan Rumah,12000,5
Kantong Plastik Sampah 90 cm x 120 cm,Peralatan Rumah,12000,5
Karung Bagor Lembaran 120 cm x 20 meter,Perlengkapan Pengemasan,51000,5
Plastik Mika Bahan PVC 0.05 x 137 cm x 25 meter,Perlengkapan Rumah,81000,5
Plastik Sampah Jumbo PE 120 cm x 180 cm,Peralatan Rumah,27000,5
Paperbag Thank You 35 cm x 9 cm x 30 cm,Kantong Kertas,8800,5
Amplop Coklat Vintage Craft A6 16 cm x 12 cm,Perlengkapan Rumah,25000,5
Plastik Bening PP 29 cm x 40 cm,Peralatan Industri,30500,"4,9"
Wrapping Bening 50 cm x 300 meter,Kemasan Fleksible,100500,"4,9"
Wrapping Bening 50 cm x 270 meter,Kemasan Fleksible,89000,"4,8"
Wrapping Bening 50 cm x 250 meter,Kemasan Fleksible,77000,"4,9"
Wrapping Bening 50 cm x 200 meter,Kemasan Fleksible,72000,5
Wrapping Bening 50 cm x 175 meter,Kemasan Fleksible,69000,5
Wrapping Bening 50 cm x 150 meter,Kemasan Fleksible,63000,5
Wrapping Bening 50 cm x 100 meter,Kemasan Fleksible,45000,5
Wrapping Bening 10 cm x 200 meter,Kemasan Fleksible,30000,5
Wrapping Hitam 50 cm x 300 meter,Kemasan Fleksible,103000,5
Wrapping Hitam 50 cm x 270 meter,Kemasan Fleksible,89000,5
Wrapping HItam 50 cm x 250 meter,Kemasan Fleksible,83000,5
Wrapping Hitam 50 cm x 200 meter,Kemasan Fleksible,76000,5
Wrapping Hitam 50 cm x 175 meter,Kemasan Fleksible,72000,"4,9"
Wrapping Hitam 50 cm x 150 meter,Kemasan Fleksible,69000,"4,9"
Wrapping Hitam 50 cm x 100 meter,Kemasan Fleksible,60000,5
Plastik Polymailer Putih 30 cm x 40 cm,Kemasan Pengiriman,45000,5
Plastik Polymailer Silver 25 cm x 35 cm,Kemasan Pengiriman,44600,5
Plastik Polymailer Hitam 30 cm x 40 cm,Kemasan Pengiriman,34000,5
Plastik Polymailer Putih 25 cm x 35 cm,Kemasan Pengiriman,41000,5
Double Tape Foam Yatta 24 x 5 meter,Perekat,6500,"4,8"
Wrapping Bening 30 cm x 200 meter,Kemasan Fleksible,45000,5
Plastik Polymailer Silver 35 cm x 50 cm,Kemasan Pengiriman,38000,"4,9"
Tape Cutter Joyko,Cutter,26000,"4,9"
Plastik HD Jumbo 70 cm x 125 cm,Peralatan Industri,38000,"4,8"
Double Tape Yatta 12 x 12 meter,Perekat,4500,5
Tali Strepping 15mm x 7kg,Pengikat,68500,5
Sticker Thermal Lipat 100 mm x 150 mm 500 lembar,Label,49500,5
Double Tape Yatta 24 x 12 meter,Perekat,5800,5
Tali Rafia Biru 1kg,Pengikat,22000,5
Tali Rafia Biru  1/2kg,Pengikat,12000,5
Thermal Struk Kasir Putih 80 mm x 80 mm,Struk,15000,5
Alat Mesin Klemp Packing Strepping Band,Pengikat,245000,5
Isi Staples Kecil Joyko,Staples,29000,5
Karung Plastik Jumbo 110 cm x 180 cm,Perlengkapan Pengemasan,12500,5
Plastik Clip 25 cm x 35 cm,Perlengkapan Rumah,45000,"4,9"
Correction Tape 12 m x 5 mm,Perlengkapan Rumah,7000,"4,9"
Bubble Alumunium Foil 120 cm x 25m,Pelindung Kemasan,250000,5
Plastik Polymailer Biru 30 cm x 25 cm,Kemasan Pengiriman,17000,"4,8"
Kantong Vakum Pakaian 40 cm x 60 cm,Perlengkapan Rumah,10000,"4,9"
Kantong Plastik Laundry PP 30 cm x 50 cm,Perlengkapan Rumah,20000,5
Kantong Plastik Laundry PP 35 cm x 55 cm,Perlengkapan Rumah,20000,5
Kantong Plastik Laundry PP 40 cm x 60 cm,Perlengkapan Rumah,20000,5
Kantong Plastik Laundry PP 45 cm x 65 cm,Perlengkapan Rumah,20000,5
Kantong Plastik Laundry PP 50 cm x 75 cm,Perlengkapan Rumah,20000,"4,9"
Plastik Clip Kancing 8 cm x 3 cm,Peralatan Industri,1000,5
