trial,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,use_batchnorm,best_epoch,val_rmse,val_mae
121,16,0.0003,0.03,"[256, 512]",0.2,mse,True,5,0.5211499409126029,0.4191152853920633
119,64,0.0003,0.007,"[256, 512]",0.3,mse,True,8,0.5212257755040164,0.4151967188537309
21,16,0.0005,0.007,"[32, 64]",0.3,mse,True,9,0.5212912968868282,0.41107512723760276
183,128,0.0007,0.01,"[32, 64]",0.25,mse,True,12,0.5213211788895445,0.4195629700501258
67,64,0.0004,0.04,"[256, 512]",0.25,mse,True,3,0.5214099174687299,0.4092914764813444
133,64,0.0003,0.005,"[128, 256]",0.15,mse,True,11,0.5216051782479425,0.41291050053545353
14,32,0.0005,0.007,"[256, 512]",0.3,mse,True,13,0.5216496001066664,0.41852461125948454
138,128,0.0005,0.003,"[128, 256]",0.3,mse,True,13,0.521663081508887,0.42634875691651547
57,32,0.0007,0.005,"[128, 256]",0.15,mse,True,7,0.5226258117383996,0.4216478848682969
194,32,0.0005,0.01,"[128, 64]",0.2,mse,True,7,0.5228858959744812,0.42183735543621076
50,32,0.0005,0.004,"[256, 512]",0.15,mse,True,6,0.5229919520438782,0.4160329784128568
41,32,0.0006,0.004,"[32, 64]",0.25,mse,True,1,0.5236446857625024,0.41313991035196684
12,64,0.0004,0.01,"[32, 64]",0.3,mse,True,35,0.5238599813290177,0.4208385560790823
35,32,0.0007,0.01,"[32, 64]",0.15,mse,True,7,0.5239535720293967,0.41788882562414703
128,16,0.0003,0.003,"[256, 512]",0.15,mse,True,3,0.5240198228016012,0.41688375442938097
70,128,0.0003,0.03,"[128, 256]",0.25,mse,True,16,0.5243019246747463,0.41687826177675263
124,16,0.0007,0.005,"[128, 64]",0.25,mse,True,16,0.5245971517351785,0.4193987056659975
60,32,0.0005,0.005,"[256, 512]",0.15,mse,True,4,0.5246497071430332,0.4149605490807855
80,32,0.0006,0.03,"[32, 64]",0.1,mse,True,4,0.5248870434405484,0.4188960275439434
59,16,0.0004,0.004,"[128, 64]",0.3,mse,True,9,0.5250357909097293,0.4182531134187235
22,16,0.0007,0.005,"[256, 512]",0.1,mse,True,8,0.5251589393118429,0.4131580835637234
16,16,0.0006,0.004,"[128, 64]",0.3,mse,True,4,0.525298224726465,0.41862599180323845
147,32,0.0004,0.005,"[128, 256]",0.1,mse,True,18,0.5254587140365453,0.4166798884936312
56,64,0.0006,0.003,"[128, 256]",0.3,mse,True,3,0.5257045394037558,0.42433033004544135
148,128,0.0007,0.003,"[128, 64]",0.1,mse,True,6,0.5257812605751215,0.4178549799633327
34,32,0.0002,0.04,"[128, 64]",0.2,mse,True,34,0.5258449016788785,0.419685114821425
25,128,0.0003,0.01,"[256, 512]",0.25,mse,True,7,0.5260809918671857,0.4251970936447288
101,64,0.0007,0.005,"[256, 512]",0.15,mse,True,4,0.5260956864949605,0.42418924566323074
126,32,0.0005,0.03,"[32, 64]",0.3,mse,True,13,0.5264050722701763,0.4214933475109305
106,128,0.0004,0.007,"[128, 256]",0.3,mse,True,14,0.5265607885525828,0.43126033307626044
3,128,0.0002,0.007,"[256, 512]",0.3,mse,True,9,0.5273383514553743,0.4197033497061263
118,16,0.0004,0.004,"[128, 64]",0.25,mse,True,8,0.5273971906102352,0.42334115392402144
178,64,0.0002,0.007,"[128, 64]",0.25,mse,True,1,0.5276002820463263,0.42914576184486364
30,16,0.0007,0.004,"[128, 256]",0.3,mse,True,24,0.5278406817169407,0.4170125358112227
171,32,0.0006,0.004,"[128, 256]",0.3,mse,True,6,0.5278904908125692,0.4301986032479945
186,128,0.0007,0.007,"[32, 64]",0.25,mse,True,5,0.5279542265733932,0.41984521252123713
182,64,0.0003,0.004,"[128, 256]",0.3,mse,True,18,0.5279646535457376,0.42485293981028655
18,128,0.0003,0.007,"[256, 512]",0.25,mse,True,4,0.5280577719887616,0.425786338017942
83,128,0.0007,0.003,"[32, 64]",0.2,mse,True,6,0.5281424894963399,0.42505573248637585
143,64,0.0007,0.03,"[256, 512]",0.3,mse,True,6,0.5281853955364403,0.42596266623175105
107,64,0.0002,0.04,"[128, 64]",0.1,mse,True,6,0.5284037857514727,0.42552643093024894
53,128,0.0005,0.03,"[128, 64]",0.3,mse,True,19,0.5284213932090787,0.4214878593709567
100,128,0.0006,0.03,"[128, 64]",0.15,mse,True,4,0.5284492366023879,0.4335018858924649
132,64,0.0007,0.005,"[128, 256]",0.25,mse,True,15,0.5286392043080479,0.42308399880346065
95,64,0.0007,0.01,"[32, 64]",0.2,mse,True,12,0.5288128764568777,0.42547278825416923
9,128,0.0007,0.007,"[128, 256]",0.3,mse,True,10,0.5288225967128396,0.42959660084841755
7,64,0.0006,0.003,"[128, 256]",0.3,mse,True,7,0.5288632883565495,0.4272937097760029
179,64,0.0004,0.003,"[128, 64]",0.2,mse,True,9,0.5289048624990563,0.42505962089033156
111,16,0.0003,0.01,"[256, 512]",0.2,mse,True,4,0.5289333931580504,0.4276522559698448
81,16,0.0007,0.01,"[128, 256]",0.3,mse,True,8,0.5290707660626754,0.4241782001892475
79,64,0.0003,0.03,"[128, 256]",0.1,mse,True,6,0.5291445804480335,0.4224224203392534
